pulse_index,time_s,x_m,y_m
306,0.612,0.0007700000000000006,0.00095
307,0.614,0.0007899999999999998,0.00095
308,0.616,0.0008099999999999998,0.00095
309,0.618,0.0008299999999999999,0.00095
310,0.62,0.00085,0.00095
311,0.622,0.00087,0.00095
312,0.624,0.0008900000000000001,0.00095
313,0.626,0.0009100000000000001,0.00095
314,0.628,0.0009300000000000002,0.00095
315,0.63,5e-05,5e-05
316,0.632,5e-05,7.000000000000002e-05
317,0.634,5e-05,9.000000000000005e-05
318,0.636,5e-05,0.00011000000000000006
319,0.638,5e-05,0.00013000000000000007
320,0.64,5e-05,0.0001500000000000001
321,0.642,5e-05,0.00017000000000000012
322,0.644,5e-05,0.00019000000000000012
323,0.646,5e-05,0.00021000000000000014
324,0.648,5e-05,0.00023000000000000017
325,0.65,5e-05,0.00025000000000000017
326,0.652,5e-05,0.0002700000000000002
327,0.654,5e-05,0.0002900000000000002
328,0.656,5e-05,0.00031000000000000027
329,0.658,5e-05,0.00033000000000000027
330,0.66,5e-05,0.0003500000000000003
331,0.662,5e-05,0.0003700000000000003
332,0.664,5e-05,0.0003900000000000003
333,0.666,5e-05,0.00041000000000000037
334,0.668,5e-05,0.00043000000000000037
335,0.67,5e-05,0.00045000000000000037
336,0.672,5e-05,0.0004700000000000004
337,0.674,5e-05,0.0004900000000000004
338,0.676,5e-05,0.0005100000000000004
339,0.678,5e-05,0.0005300000000000004
340,0.68,5e-05,0.0005500000000000005
341,0.682,5e-05,0.0005700000000000005
342,0.684,5e-05,0.0005900000000000005
343,0.686,5e-05,0.0006100000000000005
344,0.6880000000000001,5e-05,0.0006300000000000006
345,0.6900000000000001,5e-05,0.0006500000000000006
346,0.6920000000000001,5e-05,0.0006700000000000006
347,0.6940000000000001,5e-05,0.0006900000000000006
348,0.6960000000000001,5e-05,0.0007100000000000007
349,0.6980000000000001,5e-05,0.0007300000000000006
350,0.7000000000000001,5e-05,0.0007500000000000007
351,0.7020000000000001,5e-05,0.0007700000000000007
352,0.704,5e-05,0.0007899999999999996
353,0.706,5e-05,0.0008099999999999996
354,0.708,5e-05,0.0008299999999999996
355,0.71,5e-05,0.0008499999999999996
356,0.712,5e-05,0.0008699999999999997
357,0.714,5e-05,0.0008899999999999996
358,0.716,5e-05,0.0009099999999999997
359,0.718,5e-05,0.0009299999999999997
360,0.72,5e-05,0.0009499999999999998
361,0.722,0.00019999999999999998,6.999999999999972e-05
362,0.724,0.00019999999999999998,8.999999999999978e-05
363,0.726,0.00019999999999999998,0.00010999999999999983
364,0.728,0.00019999999999999998,0.00012999999999999977
365,0.73,0.00019999999999999998,0.00014999999999999982
366,0.732,0.00019999999999999998,0.00016999999999999988
367,0.734,0.00019999999999999998,0.00018999999999999993
368,0.736,0.00019999999999999998,0.00020999999999999998
369,0.738,0.00019999999999999998,0.00022999999999999982
370,0.74,0.00019999999999999998,0.0002499999999999999
371,0.742,0.00019999999999999998,0.00026999999999999995
372,0.744,0.00019999999999999998,0.00029
373,0.746,0.00019999999999999998,0.00031000000000000005
374,0.748,0.00019999999999999998,0.0003300000000000001
375,0.75,0.00019999999999999998,0.00034999999999999994
376,0.752,0.00019999999999999998,0.00037
377,0.754,0.00019999999999999998,0.00039000000000000005
378,0.756,0.00019999999999999998,0.0004100000000000001
379,0.758,0.00019999999999999998,0.00043000000000000015
380,0.76,0.00019999999999999998,0.0004500000000000002
381,0.762,0.00019999999999999998,0.00047000000000000004
382,0.764,0.00019999999999999998,0.0004900000000000001
383,0.766,0.00019999999999999998,0.0005100000000000001
384,0.768,0.00019999999999999998,0.0005300000000000002
385,0.77,0.00019999999999999998,0.0005500000000000002
386,0.772,0.00019999999999999998,0.0005700000000000003
387,0.774,0.00019999999999999998,0.0005900000000000001
388,0.776,0.00019999999999999998,0.0006100000000000002
389,0.778,0.00019999999999999998,0.0006300000000000002
390,0.78,0.00019999999999999998,0.0006500000000000003
391,0.782,0.00019999999999999998,0.0006700000000000003
392,0.784,0.00019999999999999998,0.0006900000000000004
393,0.786,0.00019999999999999998,0.0007100000000000005
394,0.788,0.00019999999999999998,0.0007300000000000003
395,0.79,0.00019999999999999998,0.0007500000000000003
396,0.792,0.00019999999999999998,0.0007700000000000004
397,0.794,0.00019999999999999998,0.0007900000000000004
398,0.796,0.00019999999999999998,0.0008100000000000005
399,0.798,0.00019999999999999998,0.0008300000000000006
400,0.8,0.00019999999999999998,0.0008500000000000004
401,0.802,0.00019999999999999998,0.0008700000000000004
402,0.804,0.00019999999999999998,0.0008900000000000005
403,0.806,0.00019999999999999998,0.0009100000000000005
404,0.808,0.00019999999999999998,0.0009300000000000006
405,0.81,0.00035,5.000000000000065e-05
406,0.812,0.00035,7.000000000000048e-05
407,0.8140000000000001,0.00035,9.000000000000053e-05
408,0.8160000000000001,0.00035,0.00011000000000000059
409,0.8180000000000001,0.00035,0.00013000000000000064
410,0.8200000000000001,0.00035,0.0001500000000000007
411,0.8220000000000001,0.00035,0.00017000000000000074
412,0.8240000000000001,0.00035,0.0001900000000000008
413,0.8260000000000001,0.00035,0.00021000000000000085
414,0.8280000000000001,0.00035,0.0002300000000000009
415,0.8300000000000001,0.00035,0.000250000000000001
416,0.8320000000000001,0.00035,0.0002700000000000006
417,0.834,0.00035,0.0002899999999999998
418,0.836,0.00035,0.00030999999999999984
419,0.838,0.00035,0.0003299999999999999
420,0.84,0.00035,0.00034999999999999994
421,0.842,0.00035,0.00037
422,0.844,0.00035,0.0003899999999999996
423,0.846,0.00035,0.00040999999999999967
424,0.848,0.00035,0.0004299999999999997
425,0.85,0.00035,0.00044999999999999977
426,0.852,0.00035,0.0004699999999999998
427,0.854,0.00035,0.0004899999999999999
428,0.856,0.00035,0.0005099999999999999
429,0.858,0.00035,0.00053
430,0.86,0.00035,0.00055
431,0.862,0.00035,0.0005700000000000001
432,0.864,0.00035,0.0005900000000000001
433,0.866,0.00035,0.0006100000000000002
434,0.868,0.00035,0.0006299999999999998
435,0.87,0.00035,0.0006499999999999999
436,0.872,0.00035,0.0006699999999999999
437,0.874,0.00035,0.00069
438,0.876,0.00035,0.00071
439,0.878,0.00035,0.0007300000000000001
440,0.88,0.00035,0.0007500000000000001
441,0.882,0.00035,0.0007700000000000002
442,0.884,0.00035,0.0007900000000000002
443,0.886,0.00035,0.0008100000000000003
444,0.888,0.00035,0.0008300000000000003
445,0.89,0.00035,0.0008500000000000004
446,0.892,0.00035,0.0008700000000000004
447,0.894,0.00035,0.0008900000000000001
448,0.896,0.00035,0.0009100000000000001
449,0.898,0.00035,0.0009300000000000002
450,0.9,0.0005,5.000000000000022e-05
451,0.902,0.0005,7.000000000000026e-05
452,0.904,0.0005,9.000000000000032e-05
453,0.906,0.0005,0.00011000000000000037
454,0.908,0.0005,0.00013000000000000042
455,0.91,0.0005,0.00015000000000000047
456,0.912,0.0005,0.00017000000000000053
457,0.914,0.0005,0.00019000000000000058
458,0.916,0.0005,0.00021000000000000063
459,0.918,0.0005,0.00023000000000000025
460,0.92,0.0005,0.00025000000000000033
461,0.922,0.0005,0.0002700000000000004
462,0.924,0.0005,0.00029000000000000044
463,0.926,0.0005,0.0003100000000000005
464,0.928,0.0005,0.00033000000000000054
465,0.93,0.0005,0.0003500000000000006
466,0.932,0.0005,0.00037000000000000065
467,0.934,0.0005,0.0003900000000000007
468,0.936,0.0005,0.00041000000000000075
469,0.9380000000000001,0.0005,0.0004300000000000008
470,0.9400000000000001,0.0005,0.00045000000000000086
471,0.9420000000000001,0.0005,0.0004700000000000009
472,0.9440000000000001,0.0005,0.0004900000000000005
473,0.9460000000000001,0.0005,0.0005100000000000006
474,0.9480000000000001,0.0005,0.0005300000000000006
475,0.9500000000000001,0.0005,0.0005500000000000007
476,0.9520000000000001,0.0005,0.0005700000000000007
477,0.9540000000000001,0.0005,0.0005900000000000008
478,0.9560000000000001,0.0005,0.0006100000000000008
479,0.9580000000000001,0.0005,0.0006300000000000009
480,0.96,0.0005,0.0006499999999999996
481,0.962,0.0005,0.0006699999999999997
482,0.964,0.0005,0.0006899999999999997
483,0.966,0.0005,0.0007099999999999998
484,0.968,0.0005,0.0007299999999999999
485,0.97,0.0005,0.0007499999999999999
486,0.972,0.0005,0.00077
487,0.974,0.0005,0.00079
488,0.976,0.0005,0.0008100000000000001
489,0.978,0.0005,0.0008300000000000001
490,0.98,0.0005,0.0008499999999999997
491,0.982,0.0005,0.0008699999999999998
492,0.984,0.0005,0.0008899999999999998
493,0.986,0.0005,0.0009099999999999999
494,0.988,0.0005,0.0009299999999999999
495,0.99,0.00065,5e-05
496,0.992,0.00065,7.000000000000005e-05
497,0.994,0.00065,9.00000000000001e-05
498,0.996,0.00065,0.00011000000000000015
499,0.998,0.00065,0.0001300000000000002
500,1.0,0.00065,0.00015000000000000026
